지역,이름,세부내용,아이콘,경도,위도,방문여부,충전소명,급속충전가능여부,충전소경도,충전소위도
구좌/조천,카페 글렌코,,카페,126.7672447,33.4567369,blue,제주산학융합원,Y,126.567553,33.447486
구좌/조천,이공팔오,,카페,126.7061921,33.4727191,blue,외도119센터,Y,126.4375053,33.48663399
구좌/조천,호끌락다락,,식당,126.6640952,33.5417351,red,하귀문화의 집,Y,126.4039843,33.48003276
구좌/조천,오드랑베이커리 (마농바게트),,식당,126.671551,33.5420828,blue,에피소드,N,126.1880922,33.30577808
구좌/조천,"곰막식당 (성게국수, 회국수)",,식당,126.720503,33.556821,red,청수마을회관,Y,126.2475142,33.31808934
구좌/조천,구좌상회 (당근케이크),,카페,126.7927711,33.5564922,red,한원리노인복지관(한원리사무소),Y,126.1959777,33.33851758
구좌/조천,떡하니 (문어떡볶이),,식당,126.8078888,33.5537833,red,몽땅,N,126.2580132,33.30584382
구좌/조천,"모닥식탁 (돌문어커리,딱새우커리)",,식당,126.8173877,33.5309011,blue,성김대건신부제주표착기념관,N,126.1677309,33.32286381
구좌/조천,"명진전복 (전복돌솥밥,전복죽)",,식당,126.8498541,33.5324227,red,금단영,N,126.1936223,33.36192203
구좌/조천,[가성비] 갈치공장,,식당,126.8510441,33.5313746,blue,저지리사무소,Y,126.255848,33.33269856
구좌/조천,평대전복,,식당,126.8538817,33.5291668,blue,상명EV충전소,Y,126.2313954,33.3376421
구좌/조천,토끼썸 (피크닉세트대여),,카페,126.8991337,33.5218981,red,저지신토불이식당,N,126.2556961,33.34247458
구좌/조천,190버거,,식당,126.9108495,33.4904183,red,아파트먼트커피,N,126.2445437,33.31137783
구좌/조천,[가성비] 고사리식당 (갈치조림),,식당,126.7082198,33.4528552,blue,엠닷에이,N,126.1992246,33.36494435
구좌/조천,텍시아 (수제버거),텍사스에서 오신 쉐프님이 만드는 확실한 아메리칸 버거,식당,126.8389739,33.5355012,blue,그리스박물관,Y,126.3575227,33.34808488
구좌/조천,구좌지앵 (양식),,식당,126.9062057,33.4953755,blue,귀덕편의점,N,126.2802959,33.4378241
구좌/조천,소랑풀빌라 ★★★,,숙소,126.6717547,33.4925738,purple,허브인휴양펜션,N,126.2902458,33.4356419
구좌/조천,서우봉비치호텔,,숙소,126.6604569,33.5427282,purple,오로라정원,Y,126.2485555,33.35941042
구좌/조천,제주도푸른바다,,숙소,126.8789155,33.5276549,green,한림금능농공단지 내 제주맥주,Y,126.2412145,33.35850024
한라산,사라오름,,관광지,126.5704745,33.3709058,red,한국중부발전 상명풍력발전소,Y,126.2919639,33.339953
한라산,1100고지,,관광지,126.4632099,33.3574292,purple,명월국민학교,N,126.2648488,33.38890351
,,,,,,,수원리새마을회,N,126.2705839,33.42747125
,,,,,,,제주프랜,N,126.267164,33.40194338
,,,,,,,아일랜드힐,Y,126.2796338,33.34711291
,,,,,,,제주담스파빌,N,126.2253178,33.38567338
,,,,,,,앤트러사이트(동아물산),Y,126.2582303,33.40789487
,,,,,,,돈내코순두부한림점,Y,126.2824888,33.40970367
,,,,,,,성아자동차공업사,N,126.2754372,33.42206493
,,,,,,,금악주유소,Y,126.2984609,33.35329748
,,,,,,,화북동 공영주차장(화북일동 11-7),Y,126.5712817,33.5198132
,,,,,,,동화초등학교 맞은편 공영주차장,Y,126.5745354,33.5179212
,,,,,,,중문동주민센터,Y,126.4336393,33.25333129
,,,,,,,중문메리디안,N,126.435335,33.25397374
,,,,,,,WE호텔(한라의료재단),N,126.4440336,33.28616473
,,,,,,,중문제일행복한 홈스쿨지역아동센터,N,126.4332519,33.254145
,,,,,,,모이라펜션,N,126.5871454,33.27908388
,,,,,,,빅토르투자개발,N,126.5814377,33.2793461
,,,,,,,꿈꾸는 노마드,N,126.4995561,33.24169811
,,,,,,,비전지역아동센터,N,126.5008946,33.26234316
,,,,,,,뉴월드 골프타운,N,126.5069543,33.26251197
,,,,,,,명성레져개발,N,126.4943432,33.25778008
,,,,,,,에띠에호스텔,N,126.4941424,33.2352943
,,,,,,,강정보건지소,Y,126.4772283,33.23759944
,,,,,,,호텔 빠레브 주식회사,N,126.5066913,33.2523353
,,,,,,,풍경호스텔,N,126.5528623,33.24237001
,,,,,,,주식회사 선샤인,N,126.553327,33.2434345
,,,,,,,풍경호텔,N,126.553412,33.24484246
,,,,,,,천지연폭포 주차장,N,126.5596704,33.2447447
,,,,,,,천지연폭포 주차장,Y,126.5596704,33.2447447
,,,,,,,삼매봉도서관,N,126.552097,33.2443256
,,,,,,,삼매봉도서관,Y,126.552097,33.2443256
,,,,,,,대발이파크,Y,126.7042434,33.27434685
,,,,,,,뜨리바다펜션,N,126.7000486,33.27181944
,,,,,,,남원읍 공영주차장,Y,126.7214486,33.2788184
,,,,,,,남원1리마을회,N,126.7161553,33.27781885
,,,,,,,남원하나로마트,Y,126.7215534,33.28429396
,,,,,,,지중해리조트,N,126.7467717,33.2829039
,,,,,,,한남리마을회,N,126.6951653,33.31185074
,,,,,,,태흥3리마을회,N,126.7584735,33.29359307
,,,,,,,백통신원 기린산장,N,126.639049,33.32268217
